ID,PIDM,PAM,PAV,SUM,PAM2,PAV2,SUM2,PAA_OP,GPA,Eficiencia_Terminal,Nivel_colegiatura_prepa
350780,324677,731,591,1322,679,487,1166,2,89.65,1,Prepa UDEM
350811,324708,594,560,1154,0,0,0,1,89.61,1,Prepa UDEM
351079,324976,608,687,1295,501,676,1177,2,98,1,Alto
351104,325001,705,602,1307,0,0,0,1,90.71,1,ND
351106,325003,675,497,1172,0,0,0,1,83.15,1,Prepa UDEM
351148,325045,742,591,1333,0,0,0,1,92.04,1,Alto
351156,325053,616,706,1322,0,0,0,1,85.77,0,Prepa UDEM
351662,325559,697,550,1247,0,0,0,1,85.47,1,Alto
351662,325559,697,550,1247,0,0,0,1,85.47,1,Alto
351949,325846,567,655,1222,0,0,0,1,92,1,Medio
352039,325936,721,519,1240,0,0,0,1,87.52,0,Prepa UDEM
352039,325936,721,519,1240,0,0,0,1,87.52,0,Prepa UDEM
352039,325936,721,519,1240,0,0,0,1,87.52,0,Prepa UDEM
352129,326026,731,664,1395,0,0,0,1,94.17,1,Prepa UDEM
352132,326029,729,624,1353,0,0,0,1,94.57,1,Prepa UDEM
352190,326087,740,655,1395,0,0,0,1,82.53,1,Alto
352192,326089,573,550,1123,551,508,1059,2,87.04,1,Prepa UDEM
352213,326110,648,575,1223,0,0,0,1,79.76,1,Alto
352214,326111,605,477,1082,0,0,0,1,86.31,1,Bajo
352215,326112,679,570,1249,0,0,0,1,88.09,1,Prepa UDEM
352587,326486,584,602,1186,521,560,1081,2,83.39,1,Prepa UDEM
352588,326487,675,560,1235,0,0,0,1,83.07,1,Prepa UDEM
352681,326580,740,518,1258,556,581,1137,2,89.57,1,Prepa UDEM
352706,326603,710,706,1416,0,0,0,1,90.09,1,Prepa UDEM
352713,326610,664,581,1245,447,518,965,2,86.79,1,Medio
352837,326735,621,708,1329,0,0,0,1,83,1,Alto
352847,326745,447,645,1092,0,0,0,1,80.11,1,Prepa UDEM
353533,327432,664,497,1161,0,0,0,1,90.9,1,Prepa UDEM
353545,327444,577,607,1184,0,0,0,1,88.77,1,Prepa UDEM
354783,328685,637,622,1259,506,511,1017,2,81.91,1,Prepa UDEM
354787,328689,710,622,1332,0,0,0,1,82.11,0,Alto
